departamento,comuna,contexto01,contexto03,contexto06,contexto08,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto21,contexto22
Calamuchita, Amboy,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, Calmayo,4,0,0,0,0,1,0,1,0,0,0,0,0,1
Calamuchita, Cañada Del Sauce,4,0,0,0,0,1,0,1,0,0,0,0,0,0
Calamuchita, Embalse,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, La Cruz,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, La Cumbrecita,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Calamuchita, Las Bajadas,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Calamuchita, Las Caleras,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Calamuchita, Los Condores,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, Los Molinos,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, Los Reartes,4,0,0,0,0,0,0,0,0,1,1,0,0,0
Calamuchita, Lutti,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Calamuchita, Rio De Los Sauces,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, San Agustin,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, San Ignacio,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, Santa Rosa De Calamuchita,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Calamuchita, Segunda Usina,4,0,0,0,0,0,0,1,0,1,1,0,0,0
Calamuchita, Villa Amancay,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, Villa Ciudad Parque Los Reartes,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Calamuchita, Villa Del Dique,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamuchita, Villa General Belgrano,4,0,0,0,1,0,0,0,0,1,0,0,0,0
Calamuchita, Villa Quillinzo,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Calamuchita, Villa Rumipal,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Calamuchita, Villa Yacanto,4,0,0,0,0,0,0,0,0,1,1,0,0,0
Calamuchita, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Capital, Cordoba,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Colon, Agua De Oro,4,0,0,0,1,0,0,0,0,1,0,0,0,0
Colon, Colonia Caroya,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon, Colonia Tirolesa,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon, Colonia Vicente Agüero,4,0,0,0,0,1,0,0,0,1,0,0,0,0
Colon, El Manzano,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon, Estacion General Paz,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon, Estacion Juarez Celman,4,0,0,0,0,0,1,0,0,0,0,1,0,0
Colon, Jesus Maria,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Colon, La Calera,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon, La Granja,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Colon, Malvinas Argentinas,4,0,0,1,0,0,1,0,0,0,0,1,0,0
Colon, Mendiolaza,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Colon, Mi Granja,4,0,0,0,0,0,0,0,0,1,0,1,0,0
Colon, Rio Ceballos,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Colon, Saldan,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colon, Salsipuedes,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Colon, Tinoco,4,0,0,0,0,0,0,0,0,0,0,0,0,0
