Provincia de Córdoba según Municipios/Comunas. Indicadores seleccionados. Año 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departamento,Municipio o Comuna,Hogares,contexto22,contexto14,contexto16,contexto17,Población total,contexto01,% Población 15 a 64 años,% Población 15 a 64 años ocupada,Población 15 a 64 años ocupada que es asalariada,% Población 15 a 64 años asalariada sin descuento jubilatorio,contexto08,contexto06,% Población de 25 a 64 años,contexto10,contexto11,% Población de 18 a 64 años,contexto12,contexto15,contexto13,% Población con dificultad o limitación visual,% Población con dificultad o limitación auditiva,% Población con dificultad o limitación motora inferior,% Población con dificultad o limitación motora superior,% Población con dificultad o limitación cognitiva,% Población con dos o más dificultades o limitaciones,% Población según tipo de dificultad o limitación para ver,% Población con al menos una dificultad o limitación para oír,% Población con al menos una dificultad o limitación para caminar o subir,% Población con al menos una dificultad o limitación para agarrar objetos,% Población con al menos una dificultad o limitación para entender y/o aprender,% Población en asentamientos informales,contexto21,,
TOTAL PROVINCIAL,-,"1,031,843",7.6,16.2,1.2,3.2,"3,308,876",20.1,64.5,68.0,72.6,35.3,6.0,67.1,47.6,50.8,11.2,59.5,29.4,1.5,12.2,5.3,0.7,1.7,0.3,0.6,3.7,8.0,2.2,4.5,1.9,1.7,-,.,,
CALAMUCHITA, ZONA RURAL NO COMPRENDIDA EN MUNICIPIOS O COMUNAS,459,7.6,8.9,3.9,4.6,"1,743",-,65.9,49.7,73.0,47.2,5.1,56.1,47.8,35.0,11.9,56.2,32.0,3.1,10.0,4.2,0.8,1.0,0.3,0.9,2.8,6.3,1.5,3.3,1.5,1.7,-,.,,
CALAMUCHITA, EMBALSE,"2,572",8.5,17.1,0.8,2.6,"9,107",98.3,61.8,58.8,86.3,29.2,5.1,69.8,45.2,48.7,11.8,55.0,33.2,1.4,10.0,3.8,0.7,1.5,0.3,0.6,3.0,6.0,1.7,4.0,1.6,1.4,-,.,,
CALAMUCHITA, LA CRUZ,532,12.2,14.5,0.6,2.1,"1,551",10.0,60.4,60.6,85.2,34.5,3.2,65.1,45.1,36.7,15.6,54.7,29.7,0.1,14.6,4.5,1.0,1.6,0.4,1.0,6.1,9.0,3.7,6.6,2.8,3.0,-,.,,
CALAMUCHITA, LOS CONDORES,980,10.9,16.0,0.2,1.2,"2,964",11.7,60.7,63.0,85.3,31.4,3.6,63.4,45.9,39.3,14.1,55.6,30.3,0.4,13.5,5.4,0.9,2.0,0.1,0.6,4.5,8.6,2.3,5.4,2.2,2.2,-,.,,
CALAMUCHITA, RIO DE LOS SAUCES,451,10.6,15.7,1.8,2.0,"1,326",1.8,61.5,61.2,87.2,32.6,3.1,60.0,47.1,26.7,14.8,56.9,28.3,0.3,11.1,4.4,0.8,1.7,0.2,0.5,3.4,7.3,1.7,4.1,1.6,1.4,-,.,,
CALAMUCHITA, SANTA ROSA DE CALAMUCHITA,"4,020",7.4,15.2,1.0,4.4,"12,830",122.0,62.5,68.5,81.2,40.4,4.9,54.4,47.5,48.5,11.2,57.6,31.2,2.3,10.9,4.7,0.6,1.3,0.3,0.7,3.4,7.2,1.9,3.9,1.9,1.7,-,.,,
CALAMUCHITA, VILLA DEL DIQUE,"1,055",9.8,14.6,0.7,1.1,"3,303",50.0,61.6,65.7,81.4,43.7,4.5,64.9,48.2,46.8,14.5,57.0,28.5,1.8,13.7,5.1,1.1,2.0,0.2,0.7,4.7,9.0,2.7,5.5,2.3,2.1,-,.,,
CALAMUCHITA, VILLA GENERAL BELGRANO,"2,676",7.9,16.3,1.0,2.6,"8,257",60.2,63.1,69.9,57.5,22.6,4.9,67.4,49.7,61.4,13.5,58.9,27.6,5.0,8.9,3.4,0.6,1.7,0.2,0.4,2.5,5.2,1.6,3.7,1.3,1.2,-,.,,
CALAMUCHITA, SAN AGUSTIN,"1,093",8.6,14.9,0.2,5.5,"3,732",23.5,61.0,60.9,86.3,34.8,5.5,66.6,45.2,34.4,9.1,55.6,35.3,0.5,9.3,3.3,0.8,1.7,0.3,0.6,2.7,5.1,1.7,3.8,1.6,1.5,-,.,,
CALAMUCHITA, VILLA RUMIPAL,890,8.0,14.4,0.8,2.7,"2,663",113.9,61.6,64.5,78.7,41.5,4.2,58.7,48.7,49.5,14.4,56.8,28.8,3.0,11.5,4.0,0.9,2.1,0.4,0.8,3.3,6.4,2.2,4.6,1.6,1.5,-,.,,
CALAMUCHITA, VILLA YACANTO,420,4.0,12.4,3.6,7.6,"1,634",3.1,62.5,62.1,75.3,53.3,4.8,46.3,46.0,37.4,5.3,57.5,37.2,3.3,8.8,4.8,0.4,0.9,0.4,0.9,1.5,6.0,1.1,1.8,0.9,1.4,-,.,,
CALAMUCHITA, AMBOY,79,7.6,10.1,1.3,0.0,228,15.6,64.9,75.0,68.5,39.5,6.7,62.7,49.6,37.2,7.9,61.0,31.1,0.0,15.4,5.7,0.4,2.2,0.9,0.9,5.3,10.5,1.3,7.0,2.6,1.8,-,.,,
CALAMUCHITA, CALMAYO,36,16.7,8.3,2.8,0.0,74,2.9,63.5,72.3,102.9,40.0,2.9,73.0,56.8,42.9,20.3,60.8,18.9,0.0,23.0,5.4,0.0,1.4,0.0,0.0,16.2,20.3,9.5,14.9,10.8,8.1,-,.,,
CALAMUCHITA, CAÑADA DEL SAUCE,33,6.1,12.1,3.0,0.0,75,3.5,73.3,70.9,82.1,46.9,0.0,57.3,52.0,43.6,18.7,66.7,14.7,1.3,21.3,4.0,0.0,1.3,1.3,0.0,14.7,16.0,4.0,13.3,8.0,5.3,-,.,,
CALAMUCHITA, LAS BAJADAS,52,7.7,23.1,0.0,3.8,141,47.5,63.8,58.9,94.3,36.0,10.2,66.0,50.4,29.6,10.6,60.3,29.1,1.4,18.4,3.5,2.1,2.1,0.7,2.1,7.8,10.6,6.4,7.1,2.1,4.3,-,.,,
CALAMUCHITA, LAS CALERAS,91,6.6,7.7,0.0,6.6,268,4.3,65.3,69.7,87.7,30.8,2.4,72.0,48.5,21.5,9.7,60.4,29.9,0.7,19.8,9.3,0.4,3.0,0.4,0.0,6.7,15.3,3.0,7.8,1.5,1.1,-,.,,
CALAMUCHITA, LOS MOLINOS,100,10.0,11.0,0.0,2.0,338,28.7,61.8,67.9,96.5,42.3,2.1,62.7,45.3,18.3,13.3,55.0,31.7,0.0,13.9,4.7,0.3,0.6,0.0,0.9,7.4,10.4,2.4,5.9,2.4,2.7,-,.,,
CALAMUCHITA, LOS REARTES,420,4.8,11.7,3.3,6.7,"1,426",33.2,64.8,68.0,73.7,44.1,7.5,50.5,48.9,46.4,7.9,59.7,32.4,2.7,9.1,3.4,0.8,1.8,0.6,0.4,2.1,4.8,1.8,3.4,1.6,0.8,-,.,,
CALAMUCHITA, LUTTI,58,5.2,13.8,1.7,0.0,183,0.7,62.3,61.4,75.7,45.3,2.8,62.3,45.4,14.5,16.4,55.2,28.4,0.0,16.4,7.7,0.0,1.1,0.5,0.0,7.1,12.6,1.6,7.7,2.7,1.1,-,.,,
CALAMUCHITA, SAN IGNACIO,78,11.5,17.9,0.0,3.8,247,4.0,59.9,64.2,82.1,34.6,4.0,63.6,44.1,40.4,15.0,51.4,33.6,0.8,18.2,6.5,2.0,1.6,0.4,1.6,6.1,10.1,5.7,6.9,2.8,3.2,-,.,,
CALAMUCHITA, SEGUNDA USINA,56,5.4,17.9,3.6,0.0,170,21.1,60.6,65.0,79.1,43.4,5.6,52.9,48.2,32.9,14.7,58.8,26.5,2.4,22.9,8.8,0.0,3.5,0.0,1.8,8.8,14.7,3.5,10.6,2.9,5.3,-,.,,
CALAMUCHITA, VILLA AMANCAY,145,9.7,11.7,0.7,4.1,450,11.7,63.3,60.4,73.8,39.4,4.4,42.7,47.3,28.6,11.1,55.8,33.1,1.3,12.7,3.6,0.7,2.9,0.4,0.0,5.1,6.7,2.9,7.3,3.1,1.3,-,.,,
CALAMUCHITA, VILLA CIUDAD PARQUE LOS REARTES,347,4.9,11.2,2.6,3.5,"1,165",18.0,66.7,66.2,66.7,48.4,3.9,47.0,52.6,49.4,8.4,62.3,29.3,2.8,6.7,3.2,0.6,0.3,0.2,0.5,2.0,4.4,1.5,1.6,1.0,0.8,-,.,,
CALAMUCHITA, VILLA QUILLINZO,30,10.0,16.7,0.0,6.7,79,3.1,54.4,72.1,71.0,36.4,0.0,54.4,43.0,29.4,16.5,48.1,35.4,0.0,17.7,6.3,0.0,1.3,0.0,3.8,6.3,11.4,5.1,6.3,2.5,8.9,-,.,,
CALAMUCHITA, LA CUMBRECITA,242,3.7,17.8,1.7,4.5,776,15.4,67.7,75.4,84.8,45.2,1.5,53.4,51.0,41.4,8.0,63.0,29.0,2.7,12.0,3.7,0.9,1.9,0.3,0.5,4.6,7.7,2.6,5.0,2.2,2.3,-,.,,
CAPITAL, CORDOBA,"414,237",6.2,17.5,1.6,3.3,"1,329,604",2319.5,66.2,69.6,72.1,30.0,7.4,68.8,48.1,59.3,10.2,61.4,28.4,2.4,13.2,6.0,0.7,1.6,0.3,0.6,4.1,9.0,2.4,4.6,2.1,1.8,2.1,1.7,,
COLON, ZONA RURAL NO COMPRENDIDA EN MUNICIPIOS O COMUNAS,39,15.4,10.3,2.6,2.6,132,-,57.6,71.1,29.6,37.5,5.3,51.5,43.9,13.8,15.9,53.8,30.3,3.8,11.4,3.8,0.0,1.5,0.0,0.8,5.3,6.8,3.8,5.3,1.5,3.8,-,.,,
COLON, AGUA DE ORO,723,7.3,11.5,1.2,2.4,"2,111",18.6,63.3,74.5,47.6,16.7,3.6,69.9,51.4,61.1,13.6,59.2,27.2,2.2,12.3,6.1,0.5,0.9,0.3,0.6,3.9,9.0,1.8,4.2,1.8,1.6,-,.,,
COLON, COLONIA CAROYA,"6,170",5.8,14.7,0.7,2.5,"20,821",112.8,64.1,68.8,76.6,28.5,5.5,71.7,47.8,48.7,9.9,59.1,31.0,1.3,10.2,4.6,0.6,1.4,0.3,0.5,2.7,6.7,1.7,3.5,1.5,1.2,-,.,,
COLON, COLONIA TIROLESA,"1,465",5.2,14.7,0.4,6.3,"5,342",14.2,62.5,65.7,53.7,40.6,5.6,49.8,45.5,27.7,8.4,57.1,34.5,1.7,11.7,5.1,0.5,1.9,0.1,0.7,3.3,7.4,2.0,4.3,1.5,1.6,-,.,,
COLON, ESTACION JUAREZ CELMAN,"2,913",2.4,17.9,0.6,10.8,"12,129",93.9,61.3,59.8,78.7,34.7,7.2,44.7,41.5,23.4,3.9,54.6,41.5,1.1,12.5,5.7,0.7,1.3,0.3,0.6,3.9,8.6,2.3,3.9,2.2,2.1,-,.,,
COLON, JESUS MARIA,"9,221",5.5,18.0,1.3,4.4,"31,864",322.2,65.6,64.6,83.4,27.4,6.6,70.2,47.4,52.6,9.4,60.6,30.1,0.6,10.7,4.8,0.5,1.3,0.2,0.5,3.2,7.2,1.9,3.7,1.7,1.4,-,.,,
COLON, LA CALERA,"8,738",4.7,18.4,0.5,6.6,"32,227",372.8,63.7,66.5,85.1,38.2,6.8,62.2,46.2,45.9,7.0,58.1,34.9,0.9,11.9,5.3,0.7,1.5,0.2,0.5,3.6,8.1,2.2,4.4,1.8,1.4,-,.,,
COLON, LA GRANJA,"1,017",9.1,15.3,0.4,2.4,"3,234",28.0,61.9,68.5,44.9,18.5,4.3,63.3,47.4,53.3,13.3,56.8,29.9,1.5,11.1,4.9,0.5,1.5,0.3,1.0,2.9,7.1,1.8,3.6,1.5,1.9,-,.,,
COLON, MALVINAS ARGENTINAS,"3,098",3.5,16.4,0.6,12.1,"12,581",128.2,61.4,59.2,79.2,36.0,10.1,46.6,42.4,22.7,4.8,54.9,40.3,1.5,13.5,6.4,0.6,1.4,0.3,0.7,4.1,9.7,2.1,4.5,2.2,1.9,-,.,,
COLON, MENDIOLAZA,"2,874",2.6,12.4,0.7,2.2,"10,317",613.0,62.7,76.3,78.5,21.7,3.1,78.8,50.4,76.8,4.6,58.1,37.3,1.2,5.6,2.7,0.4,0.8,0.1,0.3,1.2,3.5,0.9,1.7,0.6,0.7,-,.,,
COLON, RIO CEBALLOS,"6,336",7.9,17.8,0.8,3.0,"20,242",165.2,63.4,69.6,79.8,32.0,6.2,68.3,48.4,60.4,11.7,58.2,30.1,1.4,11.0,4.8,0.7,1.5,0.3,0.4,3.3,7.2,1.9,4.1,1.7,1.3,-,.,,
COLON, SALDAN,"2,917",4.3,18.6,0.5,5.9,"10,606",1892.5,63.9,70.6,73.1,32.0,5.5,60.3,46.8,50.6,7.8,58.6,33.7,1.3,9.5,3.5,0.6,1.3,0.3,0.6,3.1,5.9,1.9,3.8,1.9,1.5,-,.,,
COLON, SALSIPUEDES,"3,036",6.4,14.9,0.6,4.3,"9,842",70.7,62.9,67.1,79.5,32.0,7.0,63.8,48.6,54.9,10.1,58.0,31.9,1.1,10.3,3.9,0.7,1.5,0.2,0.5,3.5,6.5,2.1,3.9,1.8,1.4,-,.,,
COLON, UNQUILLO,"5,395",6.9,19.0,0.8,4.0,"18,483",240.5,63.9,68.8,76.7,40.4,6.2,57.8,46.4,54.2,9.3,58.0,32.6,1.1,11.8,4.8,0.7,1.6,0.3,0.7,3.8,7.6,2.2,4.4,1.9,1.6,-,.,,
COLON, VILLA ALLENDE,"7,988",5.1,16.9,0.5,3.5,"28,374",288.3,64.2,71.1,76.4,35.9,5.7,70.9,47.6,65.7,8.6,58.8,32.5,1.7,9.3,3.8,0.6,1.2,0.3,0.6,2.8,5.9,1.9,3.4,1.7,1.5,-,.,,
COLON, COLONIA VICENTE Agüero,107,10.3,13.1,0.0,2.8,352,8.6,60.8,71.5,33.3,41.2,0.6,55.4,50.3,24.3,19.6,57.7,22.7,3.7,15.9,5.4,0.6,1.4,0.6,1.4,6.5,11.1,4.0,5.1,2.6,4.5,-,.,,
COLON, EL MANZANO,382,7.6,17.5,0.5,6.8,"1,298",33.1,61.9,66.0,47.6,22.9,7.8,44.8,44.8,28.4,9.0,56.1,34.9,0.5,16.7,7.4,0.9,1.0,0.5,1.9,5.0,10.9,3.3,4.5,2.5,3.3,-,.,,
COLON, ESTACION GENERAL PAZ,687,7.7,18.2,0.9,5.7,"2,253",20.2,63.4,63.9,49.5,21.9,6.6,55.3,46.8,28.2,10.1,58.1,31.9,0.8,12.7,6.7,0.5,1.5,0.3,0.5,3.1,9.1,1.6,3.8,1.9,1.3,-,.,,
COLON, MI GRANJA,437,0.9,18.1,1.6,10.8,"2,149",51.5,63.8,60.1,86.8,42.7,4.7,51.5,45.6,34.7,6.1,58.4,35.5,3.6,9.4,4.2,0.5,1.5,0.1,0.3,2.8,6.5,1.4,3.6,1.3,0.9,-,.,,
COLON, VILLA CERRO AZUL,96,4.2,9.4,2.1,3.1,280,40.0,62.5,73.1,48.4,14.5,3.8,63.9,53.6,66.7,9.3,59.6,31.1,2.9,7.5,3.9,1.1,0.0,0.0,0.0,2.5,6.1,2.1,1.8,1.8,0.7,-,.,,
COLON, TINOCO,141,8.5,8.5,2.8,7.1,514,2.1,59.3,54.1,46.7,33.8,3.5,54.1,44.7,13.0,12.8,54.7,32.5,0.0,12.8,6.2,0.6,1.2,0.2,1.0,3.7,9.1,2.5,3.3,0.8,1.8,-,.,,
CRUZ DEL EJE, ZONA RURAL NO COMPRENDIDA EN MUNICIPIOS O COMUNAS,911,8.6,15.8,1.8,9.4,"3,404",-,59.7,41.6,67.7,52.8,7.7,31.3,42.2,13.8,12.1,52.6,35.3,0.4,22.6,7.8,1.3,3.3,0.5,1.0,8.6,14.5,5.0,9.6,3.5,3.5,-,.,,
CRUZ DEL EJE, CRUZ DEL EJE,"8,492",7.7,22.8,0.5,5.9,"30,844",614.1,62.3,52.9,85.2,40.2,7.6,56.1,44.5,45.8,11.4,56.1,32.5,0.4,15.5,6.1,0.8,2.0,0.2,0.6,5.6,10.5,3.0,6.5,2.7,2.5,-,.,,
CRUZ DEL EJE, SAN MARCOS SIERRAS,701,9.8,18.4,1.4,3.0,"2,199",166.5,65.1,62.3,68.3,54.5,5.2,45.3,50.4,53.2,9.9,59.7,30.4,3.6,13.2,6.6,0.6,1.8,0.3,0.2,3.6,9.4,1.8,4.9,1.5,1.0,-,.,,
CRUZ DEL EJE, SERREZUELA,682,6.7,20.1,1.0,9.7,"2,678",60.1,60.8,44.2,81.8,56.2,8.0,32.0,39.9,23.4,9.5,52.7,37.8,0.1,19.7,6.2,0.9,2.5,0.4,0.9,8.7,13.4,5.1,9.1,4.4,3.4,-,.,,
CRUZ DEL EJE, VILLA DE SOTO,"2,675",6.9,20.0,0.7,6.4,"9,927",394.7,62.1,57.2,82.2,48.2,6.0,49.5,44.7,39.3,9.7,55.7,34.5,0.2,17.1,7.0,0.8,2.3,0.4,0.7,6.0,11.7,3.7,6.7,2.8,2.3,-,.,,
CRUZ DEL EJE, ALTO DE LOS QUEBRACHOS,80,10.0,15.0,1.3,5.0,268,1.5,65.7,30.1,32.1,41.2,11.7,36.9,45.1,6.6,9.3,57.5,33.2,0.0,22.0,8.2,0.7,2.2,0.0,0.7,10.1,17.2,7.8,9.7,5.2,6.0,-,.,,
CRUZ DEL EJE, BAÑADO DE SOTO,226,8.8,8.8,1.8,9.3,941,16.3,60.1,38.0,77.2,59.6,1.8,35.7,43.7,17.0,9.7,53.7,36.7,0.0,12.0,3.1,0.6,1.3,0.9,1.1,5.1,7.0,3.3,4.6,2.6,2.7,-,.,,
CRUZ DEL EJE, CRUZ DE CAÑA,101,8.9,21.8,2.0,7.9,352,23.2,60.2,44.8,90.5,45.3,5.0,36.9,42.9,12.6,15.1,54.3,30.7,0.0,27.6,6.3,1.4,3.4,0.3,2.8,13.4,16.8,6.5,13.9,5.4,8.0,-,.,,
CRUZ DEL EJE, EL BRETE,527,2.8,23.7,0.4,10.2,"2,327",46.2,64.3,38.8,54.7,47.5,11.3,25.8,44.9,14.7,5.0,57.4,37.6,0.0,15.0,4.8,1.5,2.8,0.6,1.0,4.2,7.7,3.1,6.1,2.1,2.2,-,.,,
CRUZ DEL EJE, GUANACO MUERTO,167,6.0,19.8,3.6,6.6,554,11.5,62.3,51.3,50.8,40.0,5.3,39.5,46.4,13.2,11.7,56.1,32.1,0.2,25.3,7.8,0.7,2.3,0.2,0.7,13.5,18.8,7.4,13.0,7.6,5.6,-,.,,
CRUZ DEL EJE, LA BATEA,49,2.0,22.4,0.0,0.0,180,6.4,60.0,65.7,66.2,53.2,1.4,26.1,44.4,11.3,11.1,53.9,35.0,0.0,12.2,3.9,0.6,3.3,0.0,0.6,3.9,7.8,3.3,6.1,1.1,1.1,-,.,,
CRUZ DEL EJE, LA HIGUERA,117,11.1,24.8,0.9,7.7,411,46.5,59.6,41.6,65.7,37.3,8.1,40.4,41.6,23.4,8.5,53.3,38.2,0.5,21.2,8.8,0.2,1.5,1.0,1.2,8.5,15.3,3.6,7.8,5.8,4.6,-,.,,
CRUZ DEL EJE, LAS CAÑADAS,68,10.3,13.2,5.9,11.8,272,9.0,51.1,52.5,87.7,71.9,0.0,26.8,39.7,19.4,10.7,46.7,42.6,0.7,22.8,8.8,1.5,2.2,0.7,0.7,8.8,16.5,5.5,8.8,2.2,2.6,-,.,,
